X,Human Predictions (Y1),Computational Model Predictions (Y2),Y1_sum,Y2_sum,Difference,
18,74.074,76.296,74.074,76.296,2.222,2.222
39,74.815,77.777,148.889,154.073,5.184,5.184
61,77.037,81.481,225.926,235.554,9.628,9.628
83,90,89.63,315.926,325.184,9.258,9.258
96,98.519,98.519,414.445,423.703,9.258,9.258
,,,,,,
,,,,Dissimilarity:,9.628,9.628
,,,,,,
,,,,,,
,,,,,,
,,,,,,
X,Human Predictions (Y1),Neural Model Predictions (Y2),Y1_sum,Y2_sum,Difference,
18,74.074,72.47,74.074,72.47,1.604,1.604
39,74.815,74.471,148.889,146.941,1.948,1.948
61,77.037,79.499,225.926,226.44,0.514,0.514
83,90,89.315,315.926,315.755,0.171,0.171
96,98.519,97.486,414.445,413.241,1.204,1.204
,,,,,,
,,,,Dissimilarity:,1.948,1.948
